\N	Kake, AK	kake-alaska	561
\N	Kaktovik, AK	kaktovik-alaska	239
\N	Kalskag, AK	kalskag-alaska	216
\N	Kaltag, AK	kaltag-alaska	190
\N	Karluk, AK	karluk-alaska	0
\N	Kasaan, AK	kasaan-alaska	13508
\N	Kasigluk, AK	kasigluk-alaska	569
\N	Kasilof, AK	kasilof-alaska	2167
\N	Kenai, AK	kenai-alaska	15122
\N	Ketchikan, AK	ketchikan-alaska	14301
\N	Kiana, AK	kiana-alaska	363
\N	King Cove, AK	king cove-alaska	938
\N	King Salmon, AK	king salmon-alaska	536
\N	Kipnuk, AK	kipnuk-alaska	639
\N	Kivalina, AK	kivalina-alaska	374
\N	Klawock, AK	klawock-alaska	819
\N	Kobuk, AK	kobuk-alaska	151
\N	Kodiak, AK	kodiak-alaska	12899
\N	Kokhanok, AK	kokhanok-alaska	469
\N	Kokhonak, AK	kokhonak-alaska	469
\N	Koliganek, AK	koliganek-alaska	2603
\N	Kongiganak, AK	kongiganak-alaska	0
\N	Kotlik, AK	kotlik-alaska	577
\N	Kotzebue, AK	kotzebue-alaska	3553
\N	Koyuk, AK	koyuk-alaska	332
\N	Koyukuk, AK	koyukuk-alaska	96
\N	Kupreanof, AK	kupreanof-alaska	3202
\N	Kwethluk, AK	kwethluk-alaska	723
\N	Kwigillingok, AK	kwigillingok-alaska	321
\N	Lake Minchumina, AK	lake minchumina-alaska	17
\N	Larsen Bay, AK	larsen bay-alaska	90
\N	Levelock, AK	levelock-alaska	72
\N	Little Diomede, AK	little diomede-alaska	4038
\N	Lk Minchumina, AK	lk minchumina-alaska	17
\N	Lower Kalskag, AK	lower kalskag-alaska	282
\N	Ltl Diomede, AK	ltl diomede-alaska	4038
\N	Manley Hot Springs, AK	manley hot springs-alaska	119
\N	Manley Spgs, AK	manley spgs-alaska	119
\N	Manokotak, AK	manokotak-alaska	443
\N	Marshall, AK	marshall-alaska	417
\N	Mc Grath, AK	mc grath-alaska	501
\N	Mcgrath, AK	mcgrath-alaska	406
\N	Meadow Lake, AK	meadow lake-alaska	0
\N	Mekoryuk, AK	mekoryuk-alaska	191
\N	Mentasta Lake, AK	mentasta lake-alaska	1535
\N	Metlakatla, AK	metlakatla-alaska	1460
\N	Meyers Chuck, AK	meyers chuck-alaska	31
\N	Miers Lake, AK	miers lake-alaska	605
\N	Minto, AK	minto-alaska	210
\N	Moose Pass, AK	moose pass-alaska	228
\N	Mountain Village, AK	mountain village-alaska	813
\N	Mountain Vlg, AK	mountain vlg-alaska	813
\N	Naknek, AK	naknek-alaska	544
\N	Nanwalek, AK	nanwalek-alaska	9840
\N	Napakiak, AK	napakiak-alaska	354
\N	Napaskiak, AK	napaskiak-alaska	7632
\N	Naukati Bay, AK	naukati bay-alaska	13508
\N	Nelson Lagoon, AK	nelson lagoon-alaska	160
\N	Nenana, AK	nenana-alaska	1035
\N	New Stuyahok, AK	new stuyahok-alaska	510
\N	Newtok, AK	newtok-alaska	7632
\N	Nightmute, AK	nightmute-alaska	280
\N	Nikishka, AK	nikishka-alaska	0
\N	Nikiski, AK	nikiski-alaska	15122
\N	Nikolaevsk, AK	nikolaevsk-alaska	2510
\N	Nikolai, AK	nikolai-alaska	95
\N	Nikolski, AK	nikolski-alaska	18
\N	Ninilchik, AK	ninilchik-alaska	1131
\N	Noatak, AK	noatak-alaska	514
\N	Nome, AK	nome-alaska	4038
\N	Nondalton, AK	nondalton-alaska	174
\N	Noorvik, AK	noorvik-alaska	668
\N	North Pole, AK	north pole-alaska	22544
\N	Northway, AK	northway-alaska	290
\N	Nuiqsut, AK	nuiqsut-alaska	402
\N	Nulato, AK	nulato-alaska	264
\N	Nunam Iqua, AK	nunam iqua-alaska	189
\N	Nunapitchuk, AK	nunapitchuk-alaska	496
\N	Old Harbor, AK	old harbor-alaska	218
\N	Ouzinkie, AK	ouzinkie-alaska	175
\N	Palmer, AK	palmer-alaska	25176
\N	Pedro Bay, AK	pedro bay-alaska	44
\N	Pelican, AK	pelican-alaska	104
\N	Perryville, AK	perryville-alaska	113
\N	Petersburg, AK	petersburg-alaska	3202
\N	Pilot Point, AK	pilot point-alaska	80
\N	Pilot Station, AK	pilot station-alaska	568
\N	Platinum, AK	platinum-alaska	61
\N	Point Baker, AK	point baker-alaska	94
\N	Point Hope, AK	point hope-alaska	678
\N	Point Lay, AK	point lay-alaska	189
\N	Port Alexander, AK	port alexander-alaska	52
\N	Port Alsworth, AK	port alsworth-alaska	159
\N	Port Graham, AK	port graham-alaska	9840
\N	Port Heiden, AK	port heiden-alaska	102
\N	Port Lions, AK	port lions-alaska	197
\N	Prt Alexander, AK	prt alexander-alaska	52
\N	Prudhoe Bay, AK	prudhoe bay-alaska	845
\N	Quinhagak, AK	quinhagak-alaska	669
\N	Rampart, AK	rampart-alaska	24
\N	Red Devil, AK	red devil-alaska	25
\N	Ruby, AK	ruby-alaska	175
\N	Russian Mission, AK	russian mission-alaska	329
\N	Russian Msn, AK	russian msn-alaska	329
\N	S Naknek, AK	s naknek-alaska	79
\N	Saint George Island, AK	saint george island-alaska	102
\N	Saint Marys, AK	saint marys-alaska	616
\N	Saint Michael, AK	saint michael-alaska	401
\N	Saint Paul, AK	saint paul-alaska	479
\N	Saint Paul Island, AK	saint paul island-alaska	581
\N	Salcha, AK	salcha-alaska	1385
\N	Sand Point, AK	sand point-alaska	978
\N	Savoonga, AK	savoonga-alaska	671
\N	Saxman, AK	saxman-alaska	13508
\N	Scammon Bay, AK	scammon bay-alaska	480
\N	Selawik, AK	selawik-alaska	841
\N	Seldovia, AK	seldovia-alaska	414
\N	Seward, AK	seward-alaska	4932
\N	Shageluk, AK	shageluk-alaska	83
\N	Shaktoolik, AK	shaktoolik-alaska	251
\N	Shishmaref, AK	shishmaref-alaska	567
\N	Shungnak, AK	shungnak-alaska	262
\N	Sitka, AK	sitka-alaska	8932
\N	Skagway, AK	skagway-alaska	968
\N	Skwentna, AK	skwentna-alaska	65
\N	Slana, AK	slana-alaska	605
\N	Sleetmute, AK	sleetmute-alaska	86
\N	Soldotna, AK	soldotna-alaska	14191
\N	South Naknek, AK	south naknek-alaska	79
\N	St George, AK	st george-alaska	102
\N	St George Is, AK	st george is-alaska	102
\N	St Marys, AK	st marys-alaska	616
\N	St Michael, AK	st michael-alaska	401
\N	St Paul, AK	st paul-alaska	479
\N	St Paul Island, AK	st paul island-alaska	479
\N	St Paul Isle, AK	st paul isle-alaska	581
\N	Stebbins, AK	stebbins-alaska	556
\N	Steese, AK	steese-alaska	0
\N	Sterling, AK	sterling-alaska	3704
\N	Stevens Village, AK	stevens village-alaska	78
\N	Stevens Vlg, AK	stevens vlg-alaska	78
\N	Stony River, AK	stony river-alaska	726
\N	Sutton, AK	sutton-alaska	1444
\N	Takotna, AK	takotna-alaska	0
\N	Talkeetna, AK	talkeetna-alaska	1546
\N	Tanacross, AK	tanacross-alaska	124
\N	Tanana, AK	tanana-alaska	246
\N	Tatitlek, AK	tatitlek-alaska	88
\N	Teller, AK	teller-alaska	254
\N	Tenakee Spgs, AK	tenakee spgs-alaska	133
\N	Tenakee Springs, AK	tenakee springs-alaska	133
\N	Thorne Bay, AK	thorne bay-alaska	531
\N	Togiak, AK	togiak-alaska	891
\N	Tok, AK	tok-alaska	1659
\N	Toksook Bay, AK	toksook bay-alaska	590
\N	Trapper Creek, AK	trapper creek-alaska	524
\N	Tuluksak, AK	tuluksak-alaska	373
\N	Tuntutuliak, AK	tuntutuliak-alaska	408
\N	Tununak, AK	tununak-alaska	325
\N	Twin Hills, AK	twin hills-alaska	2603
\N	Two Rivers, AK	two rivers-alaska	0
\N	Tyonek, AK	tyonek-alaska	373
\N	Unalakleet, AK	unalakleet-alaska	688
\N	Unalaska, AK	unalaska-alaska	4376
\N	Uscgs, AK	uscgs-alaska	0
\N	Valdez, AK	valdez-alaska	4005
\N	Venetie, AK	venetie-alaska	167
\N	Wainwright, AK	wainwright-alaska	556
\N	Wales, AK	wales-alaska	145
\N	Ward Cove, AK	ward cove-alaska	0
\N	Wasilla, AK	wasilla-alaska	55871
\N	White Mountain, AK	white mountain-alaska	190
\N	White Mtn, AK	white mtn-alaska	190
\N	Whittier, AK	whittier-alaska	248
\N	Willow, AK	willow-alaska	3283
\N	Wrangell, AK	wrangell-alaska	2338
\N	Yakutat, AK	yakutat-alaska	662
\N	Abbeville, AL	abbeville-alabama	6783
\N	Abel, AL	abel-alabama	1599
\N	Abernant, AL	abernant-alabama	0
\N	Acmar, AL	acmar-alabama	10427
\N	Adamsville, AL	adamsville-alabama	7942
\N	Addison, AL	addison-alabama	2415
\N	Adger, AL	adger-alabama	3121
\N	Akron, AL	akron-alabama	1060
\N	Alabama Port, AL	alabama port-alabama	2818
\N	Alabaster, AL	alabaster-alabama	26225
\N	Alberta, AL	alberta-alabama	784
